name,domain,country_code,industry_ids,employees,revenue_eur,hq_city,homepage_url,careers_url,linkedin_url,notes,tags
DHL Group,dhl.com,DE,logistics;postal_courier,590000,81800000000,Bonn,https://dhl.com,https://careers.dhl.com,https://linkedin.com/company/dhl,Global logistics and express delivery leader,enterprise;logistics;target
Siemens AG,siemens.com,DE,manufacturing,311000,77800000000,Munich,https://siemens.com,https://jobs.siemens.com,https://linkedin.com/company/siemens,Global industrial manufacturing and digital enterprise,enterprise;manufacturing;priority
BMW Group,bmwgroup.com,DE,automotive;manufacturing,149000,155500000000,Munich,https://bmwgroup.com,https://bmwgroup.jobs,https://linkedin.com/company/bmw-group,Automotive and mobility leader,enterprise;automotive;target
SAP SE,sap.com,DE,software,107000,31200000000,Walldorf,https://sap.com,https://jobs.sap.com,https://linkedin.com/company/sap,Enterprise application software market leader,enterprise;software;cloud
Mercedes-Benz Group,mercedes-benz.com,DE,automotive;manufacturing,166000,153200000000,Stuttgart,https://mercedes-benz.com,https://group.mercedes-benz.com/careers,https://linkedin.com/company/mercedes-benz,Luxury automotive and commercial vehicles,enterprise;automotive;priority
BASF SE,basf.com,DE,chemicals,111000,68900000000,Ludwigshafen,https://basf.com,https://basf.com/careers,https://linkedin.com/company/basf,World's largest chemical producer,enterprise;chemicals;target
Deutsche Bank,db.com,DE,banking;financial_markets,90000,28900000000,Frankfurt,https://db.com,https://careers.db.com,https://linkedin.com/company/deutsche-bank,Leading European investment bank,enterprise;banking;financials
Allianz SE,allianz.com,DE,insurance,157000,161700000000,Munich,https://allianz.com,https://careers.allianz.com,https://linkedin.com/company/allianz,Global financial services and insurance group,enterprise;insurance;priority
Lufthansa Group,lufthansagroup.com,DE,airlines;logistics,96000,35400000000,Frankfurt,https://lufthansagroup.com,https://lufthansagroup.careers,https://linkedin.com/company/lufthansa,Major European airline and cargo network,enterprise;aviation;logistics
Continental AG,continental.com,DE,automotive;manufacturing,200000,41400000000,Hanover,https://continental.com,https://continental.com/careers,https://linkedin.com/company/continental,Automotive parts and mobility technology,enterprise;automotive
TotalEnergies SE,totalenergies.com,FR,oil_gas;energy_utilities,101000,237000000000,Courbevoie,https://totalenergies.com,https://totalenergies.com/careers,https://linkedin.com/company/totalenergies,Global multi-energy production and supply,enterprise;energy;priority
Airbus SE,airbus.com,FR,manufacturing,134000,65400000000,Blagnac,https://airbus.com,https://airbus.com/careers,https://linkedin.com/company/airbus,Aerospace pioneer and commercial aircraft manufacturer,enterprise;aerospace;target
Schneider Electric,se.com,FR,manufacturing;energy_utilities,135000,35900000000,Rueil-Malmaison,https://se.com,https://se.com/careers,https://linkedin.com/company/schneider-electric,Digital transformation of energy management and automation,enterprise;automation;priority
BNP Paribas,group.bnpparibas,FR,banking,190000,45900000000,Paris,https://group.bnpparibas,https://group.bnpparibas/careers,https://linkedin.com/company/bnp-paribas,Premier banking institution in the Eurozone,enterprise;banking;priority
AXA SA,axa.com,FR,insurance,145000,102700000000,Paris,https://axa.com,https://axa.com/careers,https://linkedin.com/company/axa,Multinational insurance and asset management,enterprise;insurance
Sanofi SA,sanofi.com,FR,pharma,91000,43000000000,Paris,https://sanofi.com,https://sanofi.com/careers,https://linkedin.com/company/sanofi,Global healthcare and innovative medicines,enterprise;pharma;healthcare
Saint-Gobain,saint-gobain.com,FR,manufacturing;construction,168000,47900000000,Courbevoie,https://saint-gobain.com,https://saint-gobain.com/careers,https://linkedin.com/company/saint-gobain,Leader in light and sustainable construction,enterprise;manufacturing
Danone SA,danone.com,FR,food_beverage,96000,27600000000,Paris,https://danone.com,https://careers.danone.com,https://linkedin.com/company/danone,Global food and beverage corporation,enterprise;fmcg
Engie SA,engie.com,FR,energy_utilities,97000,82600000000,Courbevoie,https://engie.com,https://engie.com/careers,https://linkedin.com/company/engie,Low-carbon energy and utility services,enterprise;energy
ASML Holding,asml.com,NL,manufacturing,42000,27600000000,Veldhoven,https://asml.com,https://asml.com/careers,https://linkedin.com/company/asml,World leader in photolithography systems for semiconductors,enterprise;tech;priority
ING Group,ing.com,NL,banking,58000,22500000000,Amsterdam,https://ing.com,https://ing.jobs,https://linkedin.com/company/ing,Global financial institution with a strong European base,enterprise;banking;fintech
Philips,philips.com,NL,medical_devices;healthcare,70000,18200000000,Amsterdam,https://philips.com,https://careers.philips.com,https://linkedin.com/company/philips,Health technology and diagnostic imaging leader,enterprise;healthcare;medtech
Heineken NV,theheinekencompany.com,NL,food_beverage,85000,36300000000,Amsterdam,https://theheinekencompany.com,https://careers.theheinekencompany.com,https://linkedin.com/company/heineken,International brewing enterprise,enterprise;retail
Ahold Delhaize,aholddelhaize.com,NL,retail,414000,88600000000,Zaandam,https://aholddelhaize.com,https://careers.aholddelhaize.com,https://linkedin.com/company/ahold-delhaize,International food retail group,enterprise;retail;logistics
AkzoNobel,akzonobel.com,NL,chemicals,35000,10700000000,Amsterdam,https://akzonobel.com,https://careers.akzonobel.com,https://linkedin.com/company/akzonobel,Pioneering paints and coatings,enterprise;manufacturing
Adyen,adyen.com,NL,banking;financial_markets,4000,1650000000,Amsterdam,https://adyen.com,https://careers.adyen.com,https://linkedin.com/company/adyen,Fintech platform of choice for leading businesses,fintech;payments;high-growth
Nestle SA,nestle.com,CH,food_beverage,270000,93000000000,Vevey,https://nestle.com,https://nestle.com/jobs,https://linkedin.com/company/nestle,World's largest food and beverage company,enterprise;fmcg
Novartis AG,novartis.com,CH,pharma,76000,45400000000,Basel,https://novartis.com,https://novartis.com/careers,https://linkedin.com/company/novartis,Innovative medicines and healthcare solutions,enterprise;pharma;priority
Roche Holding,roche.com,CH,pharma;healthcare,103000,58700000000,Basel,https://roche.com,https://roche.com/careers,https://linkedin.com/company/roche,Biotechnology and diagnostic healthcare pioneer,enterprise;pharma;medtech
UBS Group,ubs.com,CH,banking,115000,40800000000,Zurich,https://ubs.com,https://jobs.ubs.com,https://linkedin.com/company/ubs,Global wealth management and universal bank,enterprise;banking;wealth
ABB Ltd,abb.com,CH,manufacturing,105000,32200000000,Zurich,https://abb.com,https://careers.abb,https://linkedin.com/company/abb,Electrification and industrial robotics automation leader,enterprise;robotics;priority
Kuehne + Nagel,kuehne-nagel.com,CH,logistics,79000,23800000000,Schindellegi,https://kuehne-nagel.com,https://jobs.kuehne-nagel.com,https://linkedin.com/company/kuehne-nagel,Global transport and contract logistics leader,enterprise;logistics;priority
AstraZeneca PLC,astrazeneca.com,GB,pharma,89000,45800000000,Cambridge,https://astrazeneca.com,https://careers.astrazeneca.com,https://linkedin.com/company/astrazeneca,Global biopharmaceutical company,enterprise;pharma;priority
HSBC Holdings,hsbc.com,GB,banking,220000,66000000000,London,https://hsbc.com,https://hsbc.com/careers,https://linkedin.com/company/hsbc,Universal banking and international financial services,enterprise;banking;priority
Unilever PLC,unilever.com,GB,consumer_goods,128000,59600000000,London,https://unilever.com,https://careers.unilever.com,https://linkedin.com/company/unilever,Consumer goods multinational,enterprise;fmcg
BP PLC,bp.com,GB,oil_gas;energy_utilities,87000,213000000000,London,https://bp.com,https://bp.com/careers,https://linkedin.com/company/bp,Integrated energy company,enterprise;energy
Vodafone Group,vodafone.com,GB,telecom,104000,43300000000,Newbury,https://vodafone.com,https://careers.vodafone.com,https://linkedin.com/company/vodafone,Telecommunications and digital services,enterprise;telecom
Barclays PLC,barclays.com,GB,banking,92000,25400000000,London,https://barclays.com,https://home.barclays/careers,https://linkedin.com/company/barclays,British multinational universal bank,enterprise;banking
Spotify,spotify.com,SE,media,8000,13200000000,Stockholm,https://spotify.com,https://lifeatspotify.com,https://linkedin.com/company/spotify,Audio streaming and media services provider,tech;streaming;high-growth
Volvo Group,volvogroup.com,SE,automotive;manufacturing,104000,55200000000,Gothenburg,https://volvogroup.com,https://volvogroup.com/careers,https://linkedin.com/company/volvo-group,Commercial transport and infrastructure solutions,enterprise;transportation
Ericsson,ericsson.com,SE,telecom,100000,26300000000,Stockholm,https://ericsson.com,https://jobs.ericsson.com,https://linkedin.com/company/ericsson,Telecommunications and 5G networking infrastructure,enterprise;telecom;tech
Banco Santander,santander.com,ES,banking,212000,57400000000,Madrid,https://santander.com,https://santander.com/careers,https://linkedin.com/company/banco-santander,Leading retail and commercial bank in Europe and Americas,enterprise;banking
Iberdrola SA,iberdrola.com,ES,energy_utilities,42000,49300000000,Bilbao,https://iberdrola.com,https://iberdrola.com/careers,https://linkedin.com/company/iberdrola,Clean energy and smart grids leader,enterprise;energy;utilities
Enel SpA,enel.com,IT,energy_utilities,61000,92900000000,Rome,https://enel.com,https://enel.com/careers,https://linkedin.com/company/enel,Multinational power company and sustainable energy producer,enterprise;energy;utilities
Intesa Sanpaolo,intesasanpaolo.com,IT,banking,94000,25100000000,Turin,https://intesasanpaolo.com,https://jobs.intesasanpaolo.com,https://linkedin.com/company/intesa-sanpaolo,Top banking group in Italy,enterprise;banking
